,date,time,ticket_number,article,Quantity,unit_price
0,2021-01-02,08:38,150040.0,BAGUETTE,1.0,"0,90 €"
1,2021-01-02,08:38,150040.0,PAIN AU CHOCOLAT,3.0,"1,20 €"
4,2021-01-02,09:14,150041.0,PAIN AU CHOCOLAT,2.0,"1,20 €"
5,2021-01-02,09:14,150041.0,PAIN,1.0,"1,15 €"
8,2021-01-02,09:25,150042.0,TRADITIONAL BAGUETTE,5.0,"1,20 €"
11,2021-01-02,09:25,150043.0,BAGUETTE,2.0,"0,90 €"
12,2021-01-02,09:25,150043.0,CROISSANT,3.0,"1,10 €"
15,2021-01-02,09:27,150044.0,BANETTE,1.0,"1,05 €"
18,2021-01-02,09:32,150045.0,TRADITIONAL BAGUETTE,3.0,"1,20 €"
19,2021-01-02,09:32,150045.0,CROISSANT,6.0,"1,10 €"
22,2021-01-02,09:37,150046.0,PAIN AU CHOCOLAT,6.0,"1,20 €"
23,2021-01-02,09:37,150046.0,CROISSANT,6.0,"1,10 €"
24,2021-01-02,09:37,150046.0,TRADITIONAL BAGUETTE,6.0,"1,20 €"
29,2021-01-02,09:39,150048.0,CROISSANT,3.0,"1,10 €"
32,2021-01-02,09:40,150049.0,CROISSANT,2.0,"1,10 €"
33,2021-01-02,09:40,150049.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
36,2021-01-02,09:41,150050.0,TRADITIONAL BAGUETTE,2.0,"1,20 €"
39,2021-01-02,09:46,150051.0,PAIN,1.0,"1,15 €"
42,2021-01-02,09:48,150052.0,BANETTINE,1.0,"0,60 €"
43,2021-01-02,09:48,150052.0,SPECIAL BREAD,1.0,"2,40 €"
44,2021-01-02,09:48,150052.0,COUPE,1.0,"0,15 €"
47,2021-01-02,09:48,150053.0,TRADITIONAL BAGUETTE,1.0,"1,20 €"
48,2021-01-02,09:48,150053.0,SAND JB EMMENTAL,2.0,"3,50 €"
51,2021-01-02,09:49,150054.0,KOUIGN AMANN,1.0,"2,10 €"
52,2021-01-02,09:49,150054.0,PAIN,2.0,"1,15 €"
55,2021-01-02,09:57,150055.0,TRADITIONAL BAGUETTE,4.0,"1,20 €"
58,2021-01-02,09:58,150056.0,BANETTE,3.0,"1,05 €"
59,2021-01-02,09:58,150056.0,CROISSANT,5.0,"1,10 €"
64,2021-01-02,10:03,150058.0,TRADITIONAL BAGUETTE,2.0,"1,20 €"
