forecast_line_id,forecast_date,outlet_id,outlet_name,outlet_type,sku_id,sku_name,sku_category,daypart,predicted_p10_rounded,predicted_p50_rounded,predicted_p90_rounded,recommended_prep_qty,decision_posture,recommended_expected_cost,recommended_expected_waste_units,recommended_expected_stockout_units,cost_saving_vs_p50_prep,cost_saving_vs_p90_prep,weather_condition,rain_mm,temperature,reason_tags_text,decision_explanation,model_version,selected_model_name
fcst_001,2022-10-01,bangsar_street,Bangsar Street,street_cafe,blueberry_muffin,Blueberry Muffin,Dessert,evening,2,2,6,6,high_service_p90_prep,9.0,3.0,0.0,0.0,0.0,light_rain,3.4,28.2,"weekend_pattern,recent_stockout_pressure","For Blueberry Muffin at Bangsar Street during evening, forecast demand range is 2–6 units with median 2. Recommended prep is 6 units. Expected waste is about 3.0 units and expected stockout is about 0.0 units. The optimizer recommends preparing above the median forecast because the expected stockout cost is higher than the expected waste cost.",lightgbm_p50_v1,tweedie_count
fcst_002,2022-10-01,bangsar_street,Bangsar Street,street_cafe,blueberry_muffin,Blueberry Muffin,Dessert,midday,0,3,5,6,high_service_p90_prep,9.75,3.25,0.0,0.0,0.0,light_rain,3.4,28.2,"weekend_pattern,recent_stockout_pressure","For Blueberry Muffin at Bangsar Street during midday, forecast demand range is 0–5 units with median 3. Recommended prep is 6 units. Expected waste is about 3.2 units and expected stockout is about 0.0 units. The optimizer recommends preparing above the median forecast because the expected stockout cost is higher than the expected waste cost.",lightgbm_p50_v1,tweedie_count
fcst_003,2022-10-01,bangsar_street,Bangsar Street,street_cafe,blueberry_muffin,Blueberry Muffin,Dessert,morning,0,2,5,6,high_service_p90_prep,11.25,3.75,0.0,0.0,0.0,light_rain,3.4,28.2,"weekend_pattern,recent_stockout_pressure","For Blueberry Muffin at Bangsar Street during morning, forecast demand range is 0–5 units with median 2. Recommended prep is 6 units. Expected waste is about 3.8 units and expected stockout is about 0.0 units. The optimizer recommends preparing above the median forecast because the expected stockout cost is higher than the expected waste cost.",lightgbm_p50_v1,tweedie_count
fcst_004,2022-10-01,bangsar_street,Bangsar Street,street_cafe,brioche,Brioche,Pastry,evening,0,0,0,0,conservative_low_prep,0.0,0.0,0.0,0.0,0.0,light_rain,3.4,28.2,weekend_pattern,"For Brioche at Bangsar Street during evening, forecast demand range is 0–0 units with median 0. Recommended prep is 0 units. Expected waste is about 0.0 units and expected stockout is about 0.0 units. The optimizer recommends preparing below the median forecast because the expected waste risk is more expensive than the expected missed-sales risk.",lightgbm_p50_v1,tweedie_count
fcst_005,2022-10-01,bangsar_street,Bangsar Street,street_cafe,brioche,Brioche,Pastry,midday,0,0,0,0,conservative_low_prep,0.0,0.0,0.0,0.0,0.0,light_rain,3.4,28.2,weekend_pattern,"For Brioche at Bangsar Street during midday, forecast demand range is 0–0 units with median 0. Recommended prep is 0 units. Expected waste is about 0.0 units and expected stockout is about 0.0 units. The optimizer recommends preparing below the median forecast because the expected waste risk is more expensive than the expected missed-sales risk.",lightgbm_p50_v1,tweedie_count
fcst_006,2022-10-01,bangsar_street,Bangsar Street,street_cafe,brioche,Brioche,Pastry,morning,0,0,1,0,conservative_low_prep,1.0499999999999998,0.0,0.25,0.0,15.05,light_rain,3.4,28.2,"weekend_pattern,recent_stockout_pressure","For Brioche at Bangsar Street during morning, forecast demand range is 0–1 units with median 0. Recommended prep is 0 units. Expected waste is about 0.0 units and expected stockout is about 0.2 units. The optimizer recommends preparing below the median forecast because the expected waste risk is more expensive than the expected missed-sales risk.",lightgbm_p50_v1,tweedie_count
fcst_007,2022-10-01,bangsar_street,Bangsar Street,street_cafe,brownie,Brownie,Dessert,evening,0,0,0,0,conservative_low_prep,0.0,0.0,0.0,0.0,0.0,light_rain,3.4,28.2,weekend_pattern,"For Brownie at Bangsar Street during evening, forecast demand range is 0–0 units with median 0. Recommended prep is 0 units. Expected waste is about 0.0 units and expected stockout is about 0.0 units. The optimizer recommends preparing below the median forecast because the expected waste risk is more expensive than the expected missed-sales risk.",lightgbm_p50_v1,tweedie_count
fcst_008,2022-10-01,bangsar_street,Bangsar Street,street_cafe,brownie,Brownie,Dessert,midday,0,0,0,0,conservative_low_prep,0.0,0.0,0.0,0.0,0.0,light_rain,3.4,28.2,weekend_pattern,"For Brownie at Bangsar Street during midday, forecast demand range is 0–0 units with median 0. Recommended prep is 0 units. Expected waste is about 0.0 units and expected stockout is about 0.0 units. The optimizer recommends preparing below the median forecast because the expected waste risk is more expensive than the expected missed-sales risk.",lightgbm_p50_v1,tweedie_count
fcst_009,2022-10-01,bangsar_street,Bangsar Street,street_cafe,brownie,Brownie,Dessert,morning,0,0,0,0,conservative_low_prep,0.0,0.0,0.0,0.0,0.0,light_rain,3.4,28.2,weekend_pattern,"For Brownie at Bangsar Street during morning, forecast demand range is 0–0 units with median 0. Recommended prep is 0 units. Expected waste is about 0.0 units and expected stockout is about 0.0 units. The optimizer recommends preparing below the median forecast because the expected waste risk is more expensive than the expected missed-sales risk.",lightgbm_p50_v1,tweedie_count
fcst_010,2022-10-01,bangsar_street,Bangsar Street,street_cafe,butter_croissant,Butter Croissant,Pastry,evening,5,9,21,10,above_p50_service_protection,19.974999999999998,1.75,2.75,0.0,27.625000000000004,light_rain,3.4,28.2,"weekend_pattern,recent_stockout_pressure,recent_waste_pressure,high_uncertainty","For Butter Croissant at Bangsar Street during evening, forecast demand range is 5–21 units with median 9. Recommended prep is 10 units. Expected waste is about 1.8 units and expected stockout is about 2.8 units. The optimizer recommends preparing above the median forecast because the expected stockout cost is higher than the expected waste cost.",lightgbm_p50_v1,tweedie_count
