date,time,ticket_number,article,quantity,unit_price,timestamp,hour,daypart
2024-08-03,08:38,150040.0,BAGUETTE,1.0,0.9,2024-08-03 08:38:00,8,morning
2024-08-03,08:38,150040.0,PAIN AU CHOCOLAT,3.0,1.2,2024-08-03 08:38:00,8,morning
2024-08-03,09:14,150041.0,PAIN AU CHOCOLAT,2.0,1.2,2024-08-03 09:14:00,9,morning
2024-08-03,09:14,150041.0,PAIN,1.0,1.15,2024-08-03 09:14:00,9,morning
2024-08-03,09:25,150042.0,TRADITIONAL BAGUETTE,5.0,1.2,2024-08-03 09:25:00,9,morning
2024-08-03,09:25,150043.0,BAGUETTE,2.0,0.9,2024-08-03 09:25:00,9,morning
2024-08-03,09:25,150043.0,CROISSANT,3.0,1.1,2024-08-03 09:25:00,9,morning
2024-08-03,09:27,150044.0,BANETTE,1.0,1.05,2024-08-03 09:27:00,9,morning
2024-08-03,09:32,150045.0,TRADITIONAL BAGUETTE,3.0,1.2,2024-08-03 09:32:00,9,morning
2024-08-03,09:32,150045.0,CROISSANT,6.0,1.1,2024-08-03 09:32:00,9,morning
2024-08-03,09:37,150046.0,PAIN AU CHOCOLAT,6.0,1.2,2024-08-03 09:37:00,9,morning
2024-08-03,09:37,150046.0,CROISSANT,6.0,1.1,2024-08-03 09:37:00,9,morning
2024-08-03,09:37,150046.0,TRADITIONAL BAGUETTE,6.0,1.2,2024-08-03 09:37:00,9,morning
2024-08-03,09:39,150048.0,CROISSANT,3.0,1.1,2024-08-03 09:39:00,9,morning
2024-08-03,09:40,150049.0,CROISSANT,2.0,1.1,2024-08-03 09:40:00,9,morning
2024-08-03,09:40,150049.0,TRADITIONAL BAGUETTE,1.0,1.2,2024-08-03 09:40:00,9,morning
2024-08-03,09:41,150050.0,TRADITIONAL BAGUETTE,2.0,1.2,2024-08-03 09:41:00,9,morning
2024-08-03,09:46,150051.0,PAIN,1.0,1.15,2024-08-03 09:46:00,9,morning
2024-08-03,09:48,150052.0,BANETTINE,1.0,0.6,2024-08-03 09:48:00,9,morning
2024-08-03,09:48,150052.0,SPECIAL BREAD,1.0,2.4,2024-08-03 09:48:00,9,morning
2024-08-03,09:48,150052.0,COUPE,1.0,0.15,2024-08-03 09:48:00,9,morning
2024-08-03,09:48,150053.0,TRADITIONAL BAGUETTE,1.0,1.2,2024-08-03 09:48:00,9,morning
2024-08-03,09:48,150053.0,SAND JB EMMENTAL,2.0,3.5,2024-08-03 09:48:00,9,morning
2024-08-03,09:49,150054.0,KOUIGN AMANN,1.0,2.1,2024-08-03 09:49:00,9,morning
2024-08-03,09:49,150054.0,PAIN,2.0,1.15,2024-08-03 09:49:00,9,morning
2024-08-03,09:57,150055.0,TRADITIONAL BAGUETTE,4.0,1.2,2024-08-03 09:57:00,9,morning
2024-08-03,09:58,150056.0,BANETTE,3.0,1.05,2024-08-03 09:58:00,9,morning
2024-08-03,09:58,150056.0,CROISSANT,5.0,1.1,2024-08-03 09:58:00,9,morning
2024-08-03,10:03,150058.0,TRADITIONAL BAGUETTE,2.0,1.2,2024-08-03 10:03:00,10,morning
2024-08-03,10:03,150058.0,CROISSANT,2.0,1.1,2024-08-03 10:03:00,10,morning
2024-08-03,10:03,150058.0,PAIN AU CHOCOLAT,2.0,1.2,2024-08-03 10:03:00,10,morning
2024-08-03,10:04,150059.0,TRADITIONAL BAGUETTE,4.0,1.2,2024-08-03 10:04:00,10,morning
2024-08-03,10:05,150060.0,TRADITIONAL BAGUETTE,4.0,1.2,2024-08-03 10:05:00,10,morning
2024-08-03,10:12,150061.0,SPECIAL BREAD,1.0,2.4,2024-08-03 10:12:00,10,morning
