date,sku_id,sku_name,sku_category,daypart,base_quantity_sold,avg_unit_price
2024-08-03,brioche,Brioche,Pastry,midday,1,5.0
2024-08-03,brioche,Brioche,Pastry,morning,1,5.0
2024-08-03,butter_croissant,Butter Croissant,Pastry,midday,20,1.1
2024-08-03,butter_croissant,Butter Croissant,Pastry,morning,46,1.1
2024-08-03,chocolate_cookie,Chocolate Cookie,Dessert,midday,7,1.0
2024-08-03,chocolate_cookie,Chocolate Cookie,Dessert,morning,1,1.0
2024-08-03,coffee_bun_sweet_bun,Coffee Bun / Sweet Bun,Pastry,midday,5,4.8
2024-08-03,coffee_bun_sweet_bun,Coffee Bun / Sweet Bun,Pastry,morning,3,2.1
2024-08-03,country_sourdough,Country Sourdough,Bread,midday,35,1.62
2024-08-03,country_sourdough,Country Sourdough,Bread,morning,11,1.7388888888888887
2024-08-03,ham_cheese_sandwich,Ham & Cheese Sandwich,Savory,midday,7,4.0
2024-08-03,ham_cheese_sandwich,Ham & Cheese Sandwich,Savory,morning,4,3.5
2024-08-03,pain_au_chocolat,Pain au Chocolat,Pastry,midday,20,1.2
2024-08-03,pain_au_chocolat,Pain au Chocolat,Pastry,morning,28,1.2
2024-08-03,traditional_baguette,Traditional Baguette,Bread,midday,128,1.0972972972972974
2024-08-03,traditional_baguette,Traditional Baguette,Bread,morning,66,1.1564516129032258
2024-08-04,brioche,Brioche,Pastry,morning,3,5.0
2024-08-04,butter_croissant,Butter Croissant,Pastry,midday,24,1.1
2024-08-04,butter_croissant,Butter Croissant,Pastry,morning,35,1.1
2024-08-04,chocolate_cookie,Chocolate Cookie,Dessert,morning,2,1.0
2024-08-04,coffee_bun_sweet_bun,Coffee Bun / Sweet Bun,Pastry,midday,2,7.5
2024-08-04,coffee_bun_sweet_bun,Coffee Bun / Sweet Bun,Pastry,morning,5,3.9
2024-08-04,country_sourdough,Country Sourdough,Bread,midday,32,1.7589285714285714
2024-08-04,country_sourdough,Country Sourdough,Bread,morning,5,1.4
2024-08-04,pain_au_chocolat,Pain au Chocolat,Pastry,midday,6,1.2
2024-08-04,pain_au_chocolat,Pain au Chocolat,Pastry,morning,39,1.2
2024-08-04,traditional_baguette,Traditional Baguette,Bread,midday,160,1.1481651376146789
2024-08-04,traditional_baguette,Traditional Baguette,Bread,morning,75,1.08375
2024-08-05,brioche,Brioche,Pastry,evening,1,5.0
2024-08-05,butter_croissant,Butter Croissant,Pastry,midday,1,1.1
2024-08-05,butter_croissant,Butter Croissant,Pastry,morning,16,1.1
2024-08-05,chocolate_cookie,Chocolate Cookie,Dessert,midday,2,1.0
2024-08-05,coffee_bun_sweet_bun,Coffee Bun / Sweet Bun,Pastry,evening,3,4.8
2024-08-05,coffee_bun_sweet_bun,Coffee Bun / Sweet Bun,Pastry,midday,1,7.5
2024-08-05,country_sourdough,Country Sourdough,Bread,evening,4,2.075
2024-08-05,country_sourdough,Country Sourdough,Bread,midday,10,1.7999999999999998
2024-08-05,country_sourdough,Country Sourdough,Bread,morning,7,1.3166666666666667
2024-08-05,ham_cheese_sandwich,Ham & Cheese Sandwich,Savory,evening,1,2.5
2024-08-05,ham_cheese_sandwich,Ham & Cheese Sandwich,Savory,midday,8,5.0
2024-08-05,ham_cheese_sandwich,Ham & Cheese Sandwich,Savory,morning,3,4.166666666666667
2024-08-05,pain_au_chocolat,Pain au Chocolat,Pastry,evening,2,1.2
2024-08-05,pain_au_chocolat,Pain au Chocolat,Pastry,midday,1,1.2
2024-08-05,pain_au_chocolat,Pain au Chocolat,Pastry,morning,14,1.2
2024-08-05,traditional_baguette,Traditional Baguette,Bread,evening,40,1.1704545454545454
2024-08-05,traditional_baguette,Traditional Baguette,Bread,midday,89,1.1362745098039215
2024-08-05,traditional_baguette,Traditional Baguette,Bread,morning,36,1.1
2024-08-06,brioche,Brioche,Pastry,midday,2,5.0
2024-08-06,butter_croissant,Butter Croissant,Pastry,midday,4,1.2
2024-08-06,butter_croissant,Butter Croissant,Pastry,morning,10,1.1428571428571428
2024-08-06,chocolate_cookie,Chocolate Cookie,Dessert,midday,5,1.0
2024-08-06,chocolate_cookie,Chocolate Cookie,Dessert,morning,1,1.0
