date,sku_id,daypart,sku_name,sku_category,base_quantity_sold,avg_unit_price,outlet_id,outlet_name,outlet_type,outlet_factor,daypart_factor,demand_noise
2025-11-02,traditional_baguette,morning,Traditional Baguette,Bread,128,1.2125,klcc_mall,KLCC Mall,mall,1.18,1.1,1.0243773663803546
2025-11-02,traditional_baguette,midday,Traditional Baguette,Bread,112,1.21484375,klcc_mall,KLCC Mall,mall,1.18,1.0,0.9168012715007603
2025-11-02,traditional_baguette,evening,Traditional Baguette,Bread,0,3.2,klcc_mall,KLCC Mall,mall,1.18,0.9,1.0600360956645165
2025-11-02,butter_croissant,morning,Butter Croissant,Pastry,64,1.192,klcc_mall,KLCC Mall,mall,1.18,1.1,1.0752451773112972
2025-11-02,butter_croissant,midday,Butter Croissant,Pastry,8,1.15,klcc_mall,KLCC Mall,mall,1.18,1.0,0.8439171849076931
2025-11-02,butter_croissant,evening,Butter Croissant,Pastry,0,4.25,klcc_mall,KLCC Mall,mall,1.18,0.9,0.8958256394510146
2025-11-02,pain_au_chocolat,morning,Pain au Chocolat,Pastry,27,1.25,klcc_mall,KLCC Mall,mall,1.18,1.1,1.0102272322533827
2025-11-02,pain_au_chocolat,midday,Pain au Chocolat,Pastry,5,1.25,klcc_mall,KLCC Mall,mall,1.18,1.0,0.9747005926125134
2025-11-02,pain_au_chocolat,evening,Pain au Chocolat,Pastry,0,4.4,klcc_mall,KLCC Mall,mall,1.18,0.9,0.9986559073996569
2025-11-02,country_sourdough,morning,Country Sourdough,Bread,36,1.7055555555555555,klcc_mall,KLCC Mall,mall,1.18,1.1,0.9317564857941136
2025-11-02,country_sourdough,midday,Country Sourdough,Bread,10,1.8,klcc_mall,KLCC Mall,mall,1.18,1.0,1.0703518379890262
2025-11-02,country_sourdough,evening,Country Sourdough,Bread,0,6.0,klcc_mall,KLCC Mall,mall,1.18,0.9,1.0622233548343158
2025-11-02,blueberry_muffin,morning,Blueberry Muffin,Dessert,0,3.8,klcc_mall,KLCC Mall,mall,1.18,1.1,1.0052824558048974
2025-11-02,blueberry_muffin,midday,Blueberry Muffin,Dessert,0,3.8,klcc_mall,KLCC Mall,mall,1.18,1.0,1.0901792965574426
2025-11-02,blueberry_muffin,evening,Blueberry Muffin,Dessert,0,3.8,klcc_mall,KLCC Mall,mall,1.18,0.9,1.0374007473801636
2025-11-02,chocolate_cookie,morning,Chocolate Cookie,Dessert,0,2.5,klcc_mall,KLCC Mall,mall,1.18,1.1,0.931256602969341
2025-11-02,chocolate_cookie,midday,Chocolate Cookie,Dessert,0,2.5,klcc_mall,KLCC Mall,mall,1.18,1.0,1.0295000627266
2025-11-02,chocolate_cookie,evening,Chocolate Cookie,Dessert,0,2.5,klcc_mall,KLCC Mall,mall,1.18,0.9,0.9232893919336801
2025-11-02,brownie,morning,Brownie,Dessert,0,4.0,klcc_mall,KLCC Mall,mall,1.18,1.1,1.070276024104582
2025-11-02,brownie,midday,Brownie,Dessert,0,4.0,klcc_mall,KLCC Mall,mall,1.18,1.0,0.9960059271210998
2025-11-02,brownie,evening,Brownie,Dessert,0,4.0,klcc_mall,KLCC Mall,mall,1.18,0.9,0.9852110109163792
2025-11-02,fruit_tart,morning,Fruit Tart,Dessert,3,7.366666666666667,klcc_mall,KLCC Mall,mall,1.18,1.1,0.9455256364476847
2025-11-02,fruit_tart,midday,Fruit Tart,Dessert,7,3.733333333333333,klcc_mall,KLCC Mall,mall,1.18,1.0,1.0978033070939224
2025-11-02,fruit_tart,evening,Fruit Tart,Dessert,0,5.5,klcc_mall,KLCC Mall,mall,1.18,0.9,0.9876376414344958
2025-11-02,cake_slice,morning,Cake Slice,Dessert,0,6.2,klcc_mall,KLCC Mall,mall,1.18,1.1,0.9657337742269514
2025-11-02,cake_slice,midday,Cake Slice,Dessert,0,6.2,klcc_mall,KLCC Mall,mall,1.18,1.0,0.9718293159609417
2025-11-02,cake_slice,evening,Cake Slice,Dessert,0,6.2,klcc_mall,KLCC Mall,mall,1.18,0.9,1.0425847348442678
2025-11-02,ham_cheese_sandwich,morning,Ham & Cheese Sandwich,Savory,0,8.5,klcc_mall,KLCC Mall,mall,1.18,1.1,1.0292355251491263
2025-11-02,ham_cheese_sandwich,midday,Ham & Cheese Sandwich,Savory,0,8.5,klcc_mall,KLCC Mall,mall,1.18,1.0,1.0330186089276792
2025-11-02,ham_cheese_sandwich,evening,Ham & Cheese Sandwich,Savory,0,8.5,klcc_mall,KLCC Mall,mall,1.18,0.9,1.0344656802406307
2025-11-02,brioche,morning,Brioche,Pastry,1,6.0,klcc_mall,KLCC Mall,mall,1.18,1.1,1.1713318080696369
2025-11-02,brioche,midday,Brioche,Pastry,0,3.8,klcc_mall,KLCC Mall,mall,1.18,1.0,0.9674867986892307
2025-11-02,brioche,evening,Brioche,Pastry,0,3.8,klcc_mall,KLCC Mall,mall,1.18,0.9,0.9590205816742771
2025-11-02,coffee_bun_sweet_bun,morning,Coffee Bun / Sweet Bun,Pastry,1,2.2,klcc_mall,KLCC Mall,mall,1.18,1.1,0.9348981817401698
2025-11-02,coffee_bun_sweet_bun,midday,Coffee Bun / Sweet Bun,Pastry,2,2.2,klcc_mall,KLCC Mall,mall,1.18,1.0,1.0492783538060397
2025-11-02,coffee_bun_sweet_bun,evening,Coffee Bun / Sweet Bun,Pastry,0,3.2,klcc_mall,KLCC Mall,mall,1.18,0.9,1.0903177834176714
2025-11-03,traditional_baguette,morning,Traditional Baguette,Bread,42,1.1875,klcc_mall,KLCC Mall,mall,1.18,1.1,0.99088420338761
2025-11-03,traditional_baguette,midday,Traditional Baguette,Bread,43,1.1691176470588236,klcc_mall,KLCC Mall,mall,1.18,1.0,0.9327874818429978
2025-11-03,traditional_baguette,evening,Traditional Baguette,Bread,30,1.2078947368421051,klcc_mall,KLCC Mall,mall,1.18,0.9,0.9340415027447009
2025-11-03,butter_croissant,morning,Butter Croissant,Pastry,18,1.1888888888888889,klcc_mall,KLCC Mall,mall,1.18,1.1,1.052047423025976
2025-11-03,butter_croissant,midday,Butter Croissant,Pastry,13,1.2374999999999998,klcc_mall,KLCC Mall,mall,1.18,1.0,1.0594603336962753
2025-11-03,butter_croissant,evening,Butter Croissant,Pastry,1,1.5,klcc_mall,KLCC Mall,mall,1.18,0.9,1.0434523414644157
2025-11-03,pain_au_chocolat,morning,Pain au Chocolat,Pastry,16,1.25,klcc_mall,KLCC Mall,mall,1.18,1.1,0.9467592234169044
2025-11-03,pain_au_chocolat,midday,Pain au Chocolat,Pastry,0,4.4,klcc_mall,KLCC Mall,mall,1.18,1.0,1.0185729058453377
2025-11-03,pain_au_chocolat,evening,Pain au Chocolat,Pastry,4,1.25,klcc_mall,KLCC Mall,mall,1.18,0.9,1.0093348647312583
2025-11-03,country_sourdough,morning,Country Sourdough,Bread,9,1.5555555555555556,klcc_mall,KLCC Mall,mall,1.18,1.1,1.017495087738321
2025-11-03,country_sourdough,midday,Country Sourdough,Bread,4,1.8,klcc_mall,KLCC Mall,mall,1.18,1.0,1.0697143022358553
2025-11-03,country_sourdough,evening,Country Sourdough,Bread,0,6.0,klcc_mall,KLCC Mall,mall,1.18,0.9,1.0178876439019746
2025-11-03,blueberry_muffin,morning,Blueberry Muffin,Dessert,0,3.8,klcc_mall,KLCC Mall,mall,1.18,1.1,1.0543130850457516
2025-11-03,blueberry_muffin,midday,Blueberry Muffin,Dessert,0,3.8,klcc_mall,KLCC Mall,mall,1.18,1.0,1.0054063255591112
2025-11-03,blueberry_muffin,evening,Blueberry Muffin,Dessert,0,3.8,klcc_mall,KLCC Mall,mall,1.18,0.9,1.0231295518951988
2025-11-03,chocolate_cookie,morning,Chocolate Cookie,Dessert,0,2.5,klcc_mall,KLCC Mall,mall,1.18,1.1,1.0505030580670833
2025-11-03,chocolate_cookie,midday,Chocolate Cookie,Dessert,0,2.5,klcc_mall,KLCC Mall,mall,1.18,1.0,0.8834275344115466
2025-11-03,chocolate_cookie,evening,Chocolate Cookie,Dessert,1,1.1,klcc_mall,KLCC Mall,mall,1.18,0.9,0.974426302691416
2025-11-03,brownie,morning,Brownie,Dessert,0,4.0,klcc_mall,KLCC Mall,mall,1.18,1.1,0.9623701876565763
2025-11-03,brownie,midday,Brownie,Dessert,0,4.0,klcc_mall,KLCC Mall,mall,1.18,1.0,0.9488897721405326
